Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
#1,SFK0012_11_59_20,53464b303031325f31315f35395f3230,59,20,,20201214155057320_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,1,2004484096,0,2020-12-14 15:50:57:320,2020-12-14 15:51:01:014,2,0,-1,1,2,8007000f_3139510f_35303233,,,,83,1397,11756,-0.37863,-0.3814,-0.39147,-0.3804,-0.3814,-0.37889,1.16071,1.1524,TRUE,,39635,270,,,,,5000,8249,0.79094,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.58781,0.59153,0.74455,0.65418,0.56948,0.70694,0.08471,0.56948,0.32275,1744,0.9709,1.00575,1.03091,0.53336,0.6505,0.74657,,,,,,,,TRUE,37.19957,-5.83868,0.0666
#1,SFK0012_11_53_19,53464b303031325f31315f35335f3139,53,19,,20201214155129549_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,2,2004484096,0,2020-12-14 15:51:29:549,2020-12-14 15:51:33:410,2,0,-1,1,2,8007000f_3139510f_35303233,,,,83,1436,12219,-0.37889,-0.37889,-0.38845,-0.37838,-0.37989,-0.37813,1.15694,1.15215,TRUE,,39651,270,,,,,5000,8624,0.79768,,,,,,,82,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.52398,0.44243,0.81813,0.62604,0.48766,0.68412,0.1836,0.44243,0.25425,1818,0.80609,0.84291,0.87567,0.38774,0.49332,0.58311,,,,,,,,TRUE,37.02755,-5.39414,0.14231
#1,SFK0012_11_41_29,53464b303031325f31315f34315f3239,41,29,,20201214155233750_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,4,2004484096,0,2020-12-14 15:52:33:750,2020-12-14 15:52:37:712,2,0,-1,1,2,8007000f_3139510f_35303233,,,,98,1436,11884,-0.37561,-0.37612,-0.38493,-0.37511,-0.37486,-0.37763,1.16172,1.15895,TRUE,,39619,270,,,,,5000,8624,0.80653,,,,,,,83,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.48581,0.44,0.80234,0.60758,0.4904,0.66315,0.16758,0.44,0.25223,1802,0.80566,0.83818,0.86744,0.37003,0.47376,0.5677,,,,,,,,TRUE,36.89481,-5.66225,0.08633
#1,SFK0012_11_66_2,53464b303031325f31315f36365f32,66,2,,20201214155253669_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,5,2004484096,0,2020-12-14 15:52:53:669,2020-12-14 15:52:57:494,2,0,-1,1,2,8007000f_3139510f_35303233,,,,98,1436,11963,-0.37007,-0.37007,-0.3804,-0.36982,-0.37058,-0.37058,1.15819,1.15442,TRUE,,39621,270,,,,,5000,8624,0.79294,,,,,,,81,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.56407,0.52739,0.78359,0.63249,0.51951,0.69965,0.11298,0.51951,0.28631,1784,0.89193,0.93032,0.96184,0.45949,0.57241,0.66868,,,,,,,,TRUE,37.3505,-5.87896,0.07757
#1,SFK0012_11_20_29,53464b303031325f31315f32305f3239,20,29,,20201214155314686_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,6,2004484096,0,2020-12-14 15:53:14:686,2020-12-14 15:53:18:555,2,0,-1,1,2,8007000f_3139510f_35303233,,,,107,1431,12317,-0.37234,-0.37234,-0.38216,-0.37234,-0.37309,-0.37234,1.14686,1.14384,TRUE,,39625,270,,,,,5000,8624,0.79838,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.49863,0.48423,0.83684,0.63693,0.54314,0.69888,0.1527,0.48423,0.25846,1836,0.81875,0.85174,0.87875,0.41616,0.52014,0.60465,,,,,,,,TRUE,36.82087,-5.89591,0.08059
#1,SFK0012_11_34_28,53464b303031325f31315f33345f3238,34,28,,20201214155341683_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,7,2004484096,0,2020-12-14 15:53:41:683,2020-12-14 15:53:45:837,2,0,-1,1,2,8007000f_3139510f_35303233,,,,98,1401,12071,-0.3741,-0.37536,-0.38442,-0.37435,-0.37461,-0.3741,1.16071,1.15618,TRUE,,39625,270,,,,,5000,8436,0.79719,,,,,,,83,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.50623,0.53577,0.81317,0.62268,0.5593,0.69996,0.11645,0.50623,0.2735,1813,0.84748,0.87936,0.90551,0.44298,0.54452,0.63007,,,,,,,,TRUE,37.04431,-6.92087,0.10904
#1,SFK0012_11_53_16,53464b303031325f31315f35335f3136,53,16,,20201214155409710_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,8,2004484096,0,2020-12-14 15:54:09:710,2020-12-14 15:54:13:724,2,0,-1,1,2,8007000f_3139510f_35303233,,,,83,1431,11870,-0.37813,-0.37914,-0.38896,-0.37889,-0.37788,-0.37939,1.15845,1.15341,TRUE,,39625,270,,,,,5000,8624,0.79055,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.56415,0.58489,0.81792,0.51129,0.43613,0.68429,0.14876,0.43613,0.25632,1818,0.82691,0.86102,0.88964,0.39086,0.4958,0.58482,,,,,,,,TRUE,37.16877,-5.5008,0.1423
#1,SFK0012_11_76_14,53464b303031325f31315f37365f3134,76,14,,20201214155438333_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,9,2004484096,0,2020-12-14 15:54:38:333,2020-12-14 15:54:41:325,2,0,-1,1,2,8007000f_3139510f_35303233,,,,88,1421,11771,-0.37788,-0.37763,-0.38719,-0.37788,-0.37712,-0.37687,1.16675,1.16122,TRUE,,39628,270,,,,,5000,9000,0.80086,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.38094,0.36925,0.7737,0.5153,0.45082,0.60746,0.14605,0.36925,0.22183,1774,0.73477,0.77372,0.80346,0.32892,0.42663,0.51415,,,,,,,,TRUE,37.03593,-4.86642,0.1503
#1,SFK0012_11_65_3,53464b303031325f31315f36355f33,65,3,,20201214155457526_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,10,2004484096,0,2020-12-14 15:54:57:526,2020-12-14 15:55:01:404,2,0,-1,1,2,8007000f_3139510f_35303233,,,,98,1431,11899,-0.37133,-0.37234,-0.38166,-0.37234,-0.37158,-0.37007,1.16273,1.15744,TRUE,,39628,270,,,,,5000,8624,0.80075,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.54131,0.57261,0.80192,0.45689,0.38578,0.65519,0.18683,0.38578,0.24399,1802,0.78261,0.81685,0.84772,0.37653,0.47828,0.56388,,,,,,,,TRUE,37.18559,-6.86076,0.14719
#1,SFK0012_11_28_10,53464b303031325f31315f32385f3130,28,10,,20201214155517126_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,11,2004484096,0,2020-12-14 15:55:17:126,2020-12-14 15:55:20:994,2,0,-1,1,2,8007000f_3139510f_35303233,,,,98,1416,11697,-0.37712,-0.37662,-0.38593,-0.37637,-0.37687,-0.37586,1.16776,1.16172,TRUE,,39628,270,,,,,5000,8624,0.79956,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.44693,0.4572,0.78931,0.52104,0.43575,0.63812,0.08528,0.43575,0.23577,1789,0.77187,0.81072,0.84022,0.34879,0.45169,0.54172,,,,,,,,TRUE,36.76587,-5.96463,0.09162
#1,SFK0012_11_21_12,53464b303031325f31315f32315f3132,21,12,,20201214155537990_#1,JV0302,develop: 2020-12-10 17:29:48 +0800d3b3601a05fd3e866a49899c401d7f31cf1fe57a,PASSED,0,,12,2004484096,0,2020-12-14 15:55:37:990,2020-12-14 15:55:40:968,2,0,-1,1,2,8007000f_3139510f_35303233,,,,98,1455,11943,-0.37637,-0.37586,-0.38593,-0.37662,-0.37586,-0.37586,1.16373,1.15895,TRUE,,39629,270,,,,,5000,9000,0.79455,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,TRUE,0.43443,0.4596,0.7732,0.53417,0.45475,0.63242,0.09974,0.43443,0.24353,1774,0.78194,0.81712,0.84701,0.37062,0.47305,0.56262,,,,,,,,TRUE,36.84447,-6.77056,0.0759
